iter	Passed	Remaining
403	10392	15332
404	10418	15305
405	10443	15279
406	10472	15259
407	10501	15237
408	10527	15211
409	10563	15200
410	10588	15174
411	10614	15148
412	10640	15122
413	10666	15098
414	10692	15073
415	10717	15046
416	10744	15021
417	10773	15000
418	10798	14973
419	10823	14946
420	10852	14925
421	10878	14899
422	10904	14874
423	10929	14847
424	10954	14820
425	10979	14793
426	11005	14768
427	11032	14743
428	11058	14718
429	11085	14694
430	11111	14669
431	11136	14642
432	11162	14617
433	11187	14590
434	11213	14564
435	11238	14538
436	11265	14513
437	11290	14486
438	11315	14459
439	11341	14434
440	11366	14407
441	11392	14381
442	11417	14356
443	11443	14330
444	11475	14312
445	11503	14288
446	11529	14264
447	11555	14238
448	11581	14212
449	11606	14186
450	11632	14160
451	11658	14134
452	11683	14107
453	11709	14081
454	11734	14055
455	11761	14031
456	11788	14007
457	11813	13980
458	11841	13956
459	11869	13933
460	11896	13909
461	11923	13884
462	11949	13858
463	11975	13833
464	12001	13808
465	12027	13783
466	12055	13759
467	12083	13735
468	12109	13710
469	12136	13685
470	12161	13659
471	12187	13633
472	12214	13609
473	12241	13584
474	12268	13559
475	12294	13534
476	12320	13508
477	12348	13484
478	12374	13459
479	12402	13435
480	12428	13410
481	12458	13388
482	12484	13363
483	12510	13337
484	12536	13312
485	12562	13286
486	12587	13259
487	12613	13233
488	12638	13207
489	12664	13181
490	12690	13155
491	12715	13129
492	12742	13104
493	12771	13081
494	12797	13056
495	12823	13029
496	12852	13007
497	12877	12980
498	12904	12955
499	12930	12930
500	12955	12904
501	12982	12878
502	13007	12852
503	13031	12824
504	13057	12799
505	13083	12772
506	13108	12746
507	13133	12720
508	13159	12694
509	13188	12671
510	13223	12654
511	13251	12630
512	13277	12604
513	13302	12577
514	13328	12551
515	13354	12526
516	13380	12500
517	13406	12474
518	13432	12449
519	13461	12426
520	13486	12399
521	13512	12373
522	13537	12346
523	13562	12319
524	13587	12293
525	13612	12266
526	13637	12240
527	13662	12213
528	13688	12187
529	13713	12160
530	13738	12134
531	13767	12111
532	13793	12085
533	13818	12058
534	13846	12034
535	13871	12008
536	13897	11982
537	13923	11956
538	13948	11930
539	13973	11903
540	13999	11877
541	14025	11851
542	14051	11825
543	14076	11799
544	14101	11773
545	14126	11746
546	14152	11720
547	14178	11694
