iter	Logloss
176	0.3429691788
177	0.3427281379
178	0.3423765218
179	0.3417516783
180	0.3408259277
181	0.3402685709
182	0.3398967233
183	0.3397245803
184	0.3391523059
185	0.3391127859
186	0.3390894024
187	0.3386297461
188	0.3386077071
189	0.338218326
190	0.3381987519
191	0.337628677
192	0.3371175132
193	0.3367997671
194	0.3364596286
195	0.3362925508
196	0.3359383314
197	0.3351793469
198	0.334759381
199	0.3340463252
200	0.3337957684
201	0.332998366
202	0.3321995842
203	0.331526052
204	0.3311031824
205	0.3305870315
206	0.3303855619
207	0.3303279131
208	0.3301160458
209	0.3299986637
210	0.3293090024
211	0.3292341752
212	0.3286456535
213	0.3282585939
214	0.3279828423
215	0.3272234665
216	0.3264145414
217	0.3259642485
218	0.3257612065
219	0.3255277916
220	0.3251302456
221	0.3244577354
222	0.323912041
223	0.3232481312
224	0.3224983705
225	0.3219508272
226	0.3219340966
227	0.3215015682
228	0.3213791156
229	0.3210830227
230	0.3208731518
231	0.3203719574
232	0.3197493955
233	0.319465503
234	0.3192143076
235	0.3189224643
236	0.3187896263
237	0.3187198976
238	0.3185089739
239	0.3183352489
240	0.3180430053
241	0.3172343575
242	0.3171046906
243	0.3165475226
244	0.3158391377
245	0.315533065
246	0.3146534937
247	0.3144723972
248	0.314210653
249	0.313527714
250	0.3129973433
251	0.3124952721
252	0.3121318844
253	0.3119606649
254	0.3113401252
255	0.3108291814
256	0.3100780002
257	0.3096603956
258	0.3089262783
259	0.3087413098
260	0.3080519677
261	0.3079248018
262	0.307814443
263	0.3074811426
264	0.3072124773
265	0.3068393089
266	0.306495478
267	0.3062331119
268	0.3056898488
269	0.3054925666
270	0.3053597599
271	0.3052054697
272	0.3051735475
273	0.3050317101
274	0.3045903748
275	0.3045506463
276	0.3041203025
277	0.3039123896
278	0.3037725451
279	0.3036030305
280	0.3034499556
281	0.3033389832
282	0.3032039113
283	0.303050325
284	0.3027104013
285	0.3021563455
286	0.3016853115
287	0.3013834496
288	0.3007642634
289	0.300659593
290	0.3005666435
291	0.3004154437
292	0.3003394813
293	0.2999894374
294	0.2997718787
295	0.2997250934
296	0.2995684277
297	0.2992559599
298	0.2991381327
299	0.298779761
300	0.2980840897
301	0.2977946901
302	0.2977543683
303	0.2975745162
304	0.2970054105
305	0.2966931333
306	0.2964799036
307	0.2962493739
308	0.2961264848
309	0.2960115262
310	0.2959121755
311	0.2957655055
312	0.2953753984
313	0.2950446874
314	0.2945070907
315	0.2941204716
316	0.293864716
317	0.2934506604
318	0.2933892138
319	0.2932355866
320	0.2930158518
321	0.2928623633
322	0.2927346861
323	0.2926636366
324	0.2924982612
325	0.2920950418
326	0.2916882121
327	0.2912603393
328	0.2907014747
329	0.2903227656
330	0.2900097634
331	0.2898187233
332	0.2897145229
333	0.289444258
334	0.2889866226
335	0.2889131103
336	0.2887276841
337	0.2885881373
338	0.2884427256
339	0.2883079229
340	0.2882415127
341	0.2879617972
342	0.2875650547
343	0.2872989269
344	0.2871848855
345	0.2869581996
346	0.2869033663
347	0.2867545111
348	0.2865160989
349	0.2862296356
350	0.2860040893
351	0.2859457647
352	0.2858042803
353	0.2857941116
354	0.2857727893
355	0.2855119651
356	0.2849180516
357	0.2847339858
358	0.2846340813
359	0.2844185003
360	0.2841532609
361	0.2838048889
362	0.2835987687
363	0.2832525652
364	0.2829774034
365	0.2825772384
366	0.2824415307
367	0.2819497686
368	0.2816366169
369	0.2815523828
370	0.2815206106
371	0.2812066612
372	0.2809534144
373	0.2805927878
374	0.2803363874
375	0.2801653076
376	0.2800291074
377	0.2798671105
378	0.27967729
379	0.2794817763
380	0.2792883527
381	0.2792126121
382	0.279031657
383	0.2786988856
384	0.2785532596
385	0.2783004124
386	0.2780140219
387	0.2779448126
388	0.2776750672
389	0.2775825014
390	0.277192011
391	0.2771039232
392	0.2769123472
393	0.2765078173
394	0.2763030531
395	0.2760438554
396	0.2756189253
397	0.2754062521
398	0.2752996865
399	0.2751040439
400	0.2748275292
401	0.2746051621
402	0.2744624541
403	0.2742487671
404	0.2741704516
405	0.2738666025
406	0.2737405514
407	0.2737296318
408	0.2734001521
409	0.2731429259
410	0.2730144165
411	0.2729232903
412	0.2728881053
413	0.2727617306
414	0.2726522791
415	0.2725819221
416	0.2723381332
417	0.2720697061
418	0.2719735864
419	0.2718709442
420	0.2717724515
421	0.2717077166
422	0.2715409023
423	0.2712836184
424	0.2712101764
425	0.2710579677
426	0.2705342184
427	0.2703057522
428	0.2700479972
429	0.2698706419
430	0.2694762192
431	0.2693844265
432	0.2691769555
433	0.2690872949
434	0.2690216693
435	0.2687229011
436	0.268612109
437	0.2684510865
438	0.2681253078
439	0.267885221
440	0.2677431943
441	0.2676920515
442	0.2675356999
443	0.2671599523
444	0.2669816385
445	0.2667180781
446	0.266556815
447	0.2665032171
448	0.2663270481
449	0.2663183943
450	0.2660746726
451	0.2658022159
452	0.265498512
453	0.2654108129
454	0.2653992003
455	0.2651388699
456	0.2650722093
457	0.2649837798
458	0.2649217546
459	0.2646843099
460	0.2643356916
461	0.2641154523
462	0.2637516593
463	0.2635402058
464	0.2635046169
465	0.2633769957
466	0.2631868711
467	0.2631214992
468	0.2629895286
469	0.2629313402
470	0.2628489829
471	0.262711442
472	0.2625379688
473	0.262186059
474	0.262113665
475	0.2618863115
476	0.2615697664
477	0.2614980934
478	0.2614402508
479	0.2610072316
480	0.2608293286
481	0.2608072663
482	0.2604888536
483	0.260123009
484	0.2599500722
485	0.2596577146
486	0.2592787528
487	0.2591254464
488	0.2590088775
489	0.2589342719
490	0.2587328756
491	0.2586503353
492	0.2585275351
493	0.2582917879
494	0.2582276525
495	0.2579188523
496	0.2577195561
497	0.2575080002
498	0.2573598914
499	0.2571155449
500	0.2570812291
501	0.2567232902
502	0.2566881801
503	0.2566793107
504	0.2566504954
505	0.2565609768
506	0.2564638015
507	0.2562361249
508	0.2561632938
509	0.2559580734
510	0.2558324422
511	0.2557978185
512	0.2557330478
513	0.2555678783
514	0.2554599007
515	0.2552999039
516	0.2549921669
517	0.2549448585
518	0.2546789968
519	0.254586296
520	0.2544150085
521	0.2543127285
522	0.2542611413
523	0.2542146646
524	0.2539704593
525	0.2537197333
526	0.2536497706
527	0.2535657432
528	0.2534955373
529	0.2533224957
530	0.2531791563
531	0.2531133265
532	0.2528226802
533	0.2527555036
534	0.2527378984
535	0.2526365081
536	0.2524516059
537	0.2523853217
538	0.2523295042
539	0.2522206394
540	0.2521146487
541	0.2519401701
542	0.2516797157
543	0.2515477637
544	0.25133779
545	0.2512136008
546	0.2511620767
547	0.2508891726
548	0.2508228992
549	0.2505701678
550	0.2504720805
551	0.2502803255
552	0.2500329168
553	0.249892107
554	0.2497247004
555	0.2496581176
556	0.2494879416
557	0.2493138269
558	0.2492146484
559	0.2491182611
560	0.2490727171
561	0.2489007419
562	0.2488152252
563	0.2487787772
564	0.24870873
565	0.2487038588
566	0.2486791649
567	0.2485750511
568	0.2485081274
569	0.2483867043
570	0.2483096728
571	0.2481880564
572	0.248033381
573	0.2478638306
574	0.2476473854
575	0.2475013109
576	0.247414872
577	0.2472594205
578	0.2472016766
579	0.2470548303
580	0.2469344555
581	0.2468030246
582	0.2466205968
583	0.2465458568
584	0.24637768
585	0.2462095217
586	0.2461673905
587	0.2461012128
588	0.245880831
589	0.2457922473
590	0.245679916
591	0.2455476609
592	0.2454730904
593	0.2454519894
594	0.2454466043
595	0.2454163429
596	0.2452624608
597	0.2449643488
598	0.2448292792
599	0.2447006578
600	0.2446505879
601	0.2443768626
602	0.244165299
603	0.2440391714
604	0.2440149189
605	0.243823464
606	0.2436364569
607	0.2435558408
608	0.2435353236
609	0.2435229689
610	0.2433589274
611	0.2431722381
612	0.2429687666
613	0.2427993934
614	0.2426909102
615	0.2425193045
616	0.2423705126
617	0.2421956629
618	0.2420878235
619	0.2418196617
620	0.2415690636
621	0.2414803656
622	0.2412723647
623	0.2411297811
624	0.240989786
625	0.2406378631
626	0.2405379919
627	0.2404186645
628	0.2403174703
629	0.2402876799
630	0.2400048377
631	0.2397656424
632	0.2394663953
633	0.2394592542
634	0.2392388288
635	0.2389884263
636	0.2387792892
637	0.2386507508
638	0.2386078771
639	0.2384704146
640	0.2383770461
641	0.2382703841
642	0.2382482437
643	0.2380237605
644	0.2379680613
645	0.2378905901
646	0.2376612429
647	0.2376086544
648	0.2374474687
649	0.2373386536
650	0.2370965799
651	0.2370416165
652	0.2368683835
653	0.2367929617
654	0.2366959971
655	0.2366065697
656	0.236145968
657	0.2359378933
658	0.235831975
659	0.2356524425
660	0.2355693086
661	0.235499931
662	0.2353187359
663	0.2351337385
664	0.2350976716
665	0.2350548788
666	0.2349209988
667	0.2347988358
668	0.2347682017
669	0.2347173128
670	0.2346752586
671	0.2344692054
672	0.2343457589
673	0.234175851
674	0.2340650095
675	0.2339538294
676	0.2338719974
677	0.2336428352
678	0.2334775688
679	0.2334157466
680	0.2334067916
681	0.2332389864
682	0.2331071409
683	0.2330137734
684	0.2330082237
685	0.2329546988
686	0.2329452152
687	0.2329002132
688	0.2328980382
689	0.2328046701
690	0.2326932193
691	0.2325324369
692	0.2324879949
693	0.2323775767
694	0.2321582944
695	0.2320404054
696	0.2319706404
697	0.2319345429
698	0.2318091159
699	0.2317570575
700	0.2316756711
701	0.2315574056
702	0.2315163029
703	0.2314316705
704	0.2313401307
705	0.2313326906
706	0.2312374893
707	0.2310885555
708	0.2310298387
709	0.230970551
710	0.2308563494
711	0.2307954662
712	0.2307879556
713	0.2306049365
714	0.2304641265
715	0.2303539194
716	0.2301661811
717	0.2301261457
718	0.2300271938
719	0.2300211442
720	0.2297691718
721	0.2294963914
722	0.2294844021
723	0.2294631435
724	0.2294015702
725	0.2293233413
726	0.2292570642
727	0.2291216121
728	0.2290164883
729	0.2289762023
730	0.2289214001
731	0.2287750671
732	0.2286023062
733	0.2284882797
734	0.2282485783
735	0.2281539085
736	0.2281176293
737	0.2279984027
738	0.2279096575
739	0.2278402614
740	0.227777417
741	0.2276912332
742	0.2276513628
743	0.2274856879
744	0.2274704688
745	0.227431267
746	0.2274042401
747	0.2273752774
748	0.2272170168
749	0.2270942674
750	0.2269959043
751	0.2268686401
752	0.2267689873
753	0.226660038
754	0.2265492606
755	0.2265182688
756	0.2263919425
757	0.2262177394
758	0.2261285363
759	0.2260372356
760	0.2258636211
761	0.2258405417
762	0.2257374147
763	0.2256551668
764	0.2255866261
765	0.2254636571
766	0.2253576949
767	0.2253321649
768	0.2253085882
769	0.2252787348
770	0.2252419046
771	0.2252328943
772	0.2252173185
773	0.2250037808
774	0.2249884231
775	0.2247517061
776	0.2246873068
777	0.2246652713
778	0.2246574449
779	0.2246533764
780	0.2245516475
781	0.2245076344
782	0.2244700332
783	0.2243399793
784	0.224318732
785	0.2242854461
786	0.2242469673
787	0.2241770467
788	0.2240757038
789	0.2239965701
790	0.2238431645
791	0.2236571984
792	0.2236171842
793	0.2234396863
794	0.2234124595
795	0.223276249
796	0.2232600163
797	0.223148851
798	0.2231274668
799	0.2230747279
800	0.2230121396
801	0.2228397023
802	0.2226418735
803	0.2225495128
804	0.2225280534
805	0.2224777423
806	0.2224066274
807	0.222399276
808	0.2223620553
809	0.2223239166
810	0.2223182809
811	0.2223017735
812	0.2222143353
813	0.2219600563
814	0.2219189796
815	0.2218827324
816	0.2218603126
817	0.2218523466
818	0.2218476583
819	0.2218004587
820	0.2216474927
821	0.221496475
822	0.2214382653
823	0.2214061004
824	0.2212635122
825	0.2212362145
826	0.2212349428
827	0.2212316705
828	0.2211116681
829	0.2209704243
830	0.220712878
831	0.2204869058
832	0.2203215075
833	0.220188037
834	0.2201397906
835	0.2201170177
836	0.2200354814
837	0.2199139729
838	0.2198900888
839	0.2198017459
840	0.2196742425
841	0.2195273111
842	0.2194656118
843	0.2193802889
844	0.2189964241
845	0.2189128767
846	0.2187712283
847	0.218699605
848	0.218688755
849	0.2185662377
850	0.2185317229
851	0.2183756913
852	0.2182788286
853	0.2182677203
854	0.2182130255
855	0.2180835254
856	0.2180521545
857	0.2180238264
858	0.2178496607
859	0.2178185685
860	0.2178081406
861	0.2177092728
862	0.2176824311
863	0.21752889
864	0.2174754458
865	0.2173523339
866	0.2172850642
867	0.2172660697
868	0.2172220874
869	0.2171156226
870	0.2170482466
871	0.2169131256
872	0.2168133498
873	0.2166722386
874	0.2166126318
875	0.2165604998
876	0.2164403224
877	0.2164131369
878	0.2163008565
879	0.216292766
880	0.2161650381
881	0.2161446615
882	0.2159981213
883	0.215874077
884	0.2154919079
885	0.2154583321
886	0.2153773667
887	0.2153503495
888	0.215331006
889	0.2153099565
890	0.2152810717
891	0.2149918042
892	0.2149879801
893	0.2149580634
894	0.2148817817
895	0.2147136583
896	0.2146688463
897	0.2145197899
898	0.2145104522
899	0.2144865538
900	0.2144506349
901	0.2143407247
902	0.2140622223
903	0.2139708023
904	0.2139545962
905	0.2135960247
906	0.2135676573
907	0.2134673589
908	0.2134117269
909	0.2133947559
910	0.213339139
911	0.2133121519
912	0.2132521007
913	0.2132384145
914	0.213193733
915	0.2130912935
916	0.2130383176
917	0.2129312318
918	0.2128793946
919	0.2128706958
920	0.2127728524
921	0.2127066156
922	0.2125690834
923	0.2125181536
924	0.2124201456
925	0.2124115319
926	0.2123912224
927	0.2123878955
928	0.2123826225
929	0.212357929
930	0.212252692
931	0.2121596497
932	0.2121369363
933	0.2121336517
934	0.2121288121
935	0.2120206236
936	0.2119986421
937	0.2118808193
938	0.2118583653
939	0.2117487469
940	0.2115259196
941	0.2114066082
942	0.2113985194
943	0.2113858402
944	0.211325304
945	0.2112408805
946	0.2111141085
947	0.2110474307
948	0.2110347396
949	0.2109635321
950	0.2107648961
951	0.2106626363
952	0.2106489309
953	0.2106154572
954	0.2106065524
955	0.2105235677
956	0.2105043407
957	0.2104916878
958	0.2104263227
959	0.2104088661
960	0.2102617918
961	0.2102448732
962	0.2101827034
963	0.2100930457
964	0.2100144185
965	0.2099731596
966	0.2098739292
967	0.2098615005
968	0.2098404829
969	0.2098251293
970	0.2098119062
971	0.2097271463
972	0.2096744135
973	0.2095344083
974	0.2094949612
975	0.2094180925
976	0.2093954761
977	0.2093088778
978	0.2092900067
979	0.2091928723
980	0.2091840198
981	0.2091815481
982	0.2090275431
983	0.2089770816
984	0.2089082298
985	0.2088869918
986	0.2088506409
987	0.208769668
988	0.2087306139
989	0.2086833612
990	0.2086737755
991	0.2086533541
992	0.2086247894
993	0.2086219222
994	0.2086060905
995	0.2085113691
996	0.2083951133
997	0.2082835624
998	0.2082596938
999	0.2082395859
